"row","col","size","circularity","flags","present"
6,7,0,NA,NA,0
6,8,0,NA,NA,0
6,9,0,NA,NA,0
6,10,0,NA,NA,0
6,11,0,NA,NA,0
6,12,0,NA,NA,0
6,13,0,NA,NA,0
6,14,0,NA,NA,0
6,15,0,NA,NA,0
6,16,0,NA,NA,0
6,17,0,NA,NA,0
6,18,0,NA,NA,0
6,19,0,NA,NA,0
6,20,0,NA,NA,0
6,21,0,NA,NA,0
6,22,0,NA,NA,0
6,23,0,NA,NA,0
6,24,0,NA,NA,0
7,1,296,0.7604,NA,1
7,2,452,0.8582,NA,1
7,3,0,NA,NA,0
7,4,135,0.9085,NA,1
7,5,369,0.9479,NA,1
7,6,405,0.8769,NA,1
7,7,0,NA,NA,0
7,8,589,0.9646,NA,1
7,9,0,NA,NA,0
7,10,0,NA,NA,0
7,11,0,NA,NA,0
7,12,0,NA,NA,0
7,13,0,NA,NA,0
7,14,0,NA,NA,0
7,15,0,NA,NA,0
7,16,0,NA,NA,0
7,17,0,NA,NA,0
7,18,0,NA,NA,0
7,19,0,NA,NA,0
7,20,0,NA,NA,0
7,21,0,NA,NA,0
7,22,0,NA,NA,0
7,23,0,NA,NA,0
7,24,0,NA,NA,0
8,1,432,0.8495,NA,1
8,2,457,0.8803,NA,1
8,3,399,0.8562,NA,1
8,4,0,NA,NA,0
8,5,0,NA,NA,0
8,6,0,NA,NA,0
8,7,0,NA,NA,0
8,8,0,NA,NA,0
8,9,0,NA,NA,0
8,10,0,NA,NA,0
8,11,0,NA,NA,0
8,12,0,NA,NA,0
8,13,0,NA,NA,0
8,14,0,NA,NA,0
8,15,0,NA,NA,0
8,16,0,NA,NA,0
8,17,0,NA,NA,0
8,18,0,NA,NA,0
8,19,0,NA,NA,0
8,20,0,NA,NA,0
8,21,0,NA,NA,0
8,22,0,NA,NA,0
8,23,0,NA,NA,0
8,24,0,NA,NA,0
9,1,379,0.9669,NA,1
9,2,474,0.8716,NA,1
9,3,402,0.9695,NA,1
9,4,413,0.9081,NA,1
9,5,0,NA,NA,0
9,6,423,0.9508,NA,1
9,7,633,0.9431,NA,1
9,8,0,NA,NA,0
9,9,0,NA,NA,0
9,10,0,NA,NA,0
9,11,0,NA,NA,0
9,12,0,NA,NA,0
9,13,0,NA,NA,0
9,14,0,NA,NA,0
9,15,0,NA,NA,0
9,16,0,NA,NA,0
9,17,0,NA,NA,0
9,18,0,NA,NA,0
9,19,0,NA,NA,0
9,20,0,NA,NA,0
9,21,0,NA,NA,0
9,22,0,NA,NA,0
9,23,0,NA,NA,0
9,24,0,NA,NA,0
10,1,675,0.9235,NA,1
10,2,638,0.9287,NA,1
10,3,0,NA,NA,0
10,4,485,0.9077,NA,1
10,5,511,0.9644,NA,1
10,6,0,NA,NA,0
10,7,0,NA,NA,0
10,8,0,NA,NA,0
10,9,0,NA,NA,0
10,10,0,NA,NA,0
10,11,0,NA,NA,0
10,12,0,NA,NA,0
10,13,0,NA,NA,0
10,14,0,NA,NA,0
10,15,0,NA,NA,0
10,16,0,NA,NA,0
10,17,0,NA,NA,0
10,18,0,NA,NA,0
10,19,0,NA,NA,0
10,20,0,NA,NA,0
10,21,0,NA,NA,0
10,22,0,NA,NA,0
10,23,0,NA,NA,0
10,24,0,NA,NA,0
11,1,0,NA,NA,0
11,2,0,NA,NA,0
11,3,0,NA,NA,0
11,4,0,NA,NA,0
11,5,0,NA,NA,0
11,6,0,NA,NA,0
11,7,0,NA,NA,0
11,8,0,NA,NA,0
11,9,0,NA,NA,0
11,10,0,NA,NA,0
11,11,0,NA,NA,0
11,12,0,NA,NA,0
11,13,0,NA,NA,0
11,14,0,NA,NA,0
11,15,0,NA,NA,0
11,16,0,NA,NA,0
11,17,0,NA,NA,0
11,18,0,NA,NA,0
11,19,0,NA,NA,0
11,20,0,NA,NA,0
11,21,0,NA,NA,0
11,22,0,NA,NA,0
11,23,0,NA,NA,0
11,24,0,NA,NA,0
12,1,0,NA,NA,0
12,2,0,NA,NA,0
12,3,0,NA,NA,0
12,4,0,NA,NA,0
12,5,0,NA,NA,0
12,6,0,NA,NA,0
12,7,0,NA,NA,0
12,8,0,NA,NA,0
12,9,0,NA,NA,0
12,10,0,NA,NA,0
12,11,0,NA,NA,0
12,12,0,NA,NA,0
12,13,0,NA,NA,0
12,14,0,NA,NA,0
12,15,0,NA,NA,0
12,16,0,NA,NA,0
12,17,0,NA,NA,0
12,18,0,NA,NA,0
12,19,0,NA,NA,0
12,20,0,NA,NA,0
12,21,0,NA,NA,0
12,22,0,NA,NA,0
12,23,0,NA,NA,0
12,24,0,NA,NA,0
13,1,0,NA,NA,0
13,2,0,NA,NA,0
13,3,434,0.9114,NA,1
13,4,0,NA,NA,0
13,5,0,NA,NA,0
13,6,0,NA,NA,0
13,7,0,NA,NA,0
13,8,0,NA,NA,0
13,9,0,NA,NA,0
13,10,0,NA,NA,0
13,11,0,NA,NA,0
13,12,0,NA,NA,0
13,13,0,NA,NA,0
13,14,0,NA,NA,0
13,15,0,NA,NA,0
13,16,0,NA,NA,0
13,17,0,NA,NA,0
13,18,0,NA,NA,0
13,19,0,NA,NA,0
13,20,0,NA,NA,0
13,21,0,NA,NA,0
13,22,0,NA,NA,0
13,23,0,NA,NA,0
13,24,0,NA,NA,0
14,1,0,NA,NA,0
14,2,0,NA,NA,0
14,3,0,NA,NA,0
14,4,441,0.9759,NA,1
14,5,0,NA,NA,0
14,6,0,NA,NA,0
14,7,0,NA,NA,0
14,8,0,NA,NA,0
14,9,0,NA,NA,0
14,10,0,NA,NA,0
14,11,0,NA,NA,0
14,12,0,NA,NA,0
14,13,0,NA,NA,0
14,14,0,NA,NA,0
14,15,0,NA,NA,0
14,16,0,NA,NA,0
14,17,0,NA,NA,0
14,18,0,NA,NA,0
14,19,0,NA,NA,0
14,20,2,25.1327,NA,0
14,21,0,NA,NA,0
14,22,0,NA,NA,0
14,23,0,NA,NA,0
14,24,3,37.6991,NA,0
15,1,576,0.8076,NA,1
15,2,437,0.8796,NA,1
15,3,338,0.9362,NA,1
15,4,550,0.9433,NA,1
15,5,0,NA,NA,0
15,6,0,NA,NA,0
15,7,0,NA,NA,0
15,8,0,NA,NA,0
15,9,0,NA,NA,0
15,10,0,NA,NA,0
15,11,0,NA,NA,0
15,12,0,NA,NA,0
15,13,0,NA,NA,0
15,14,0,NA,NA,0
15,15,0,NA,NA,0
15,16,0,NA,NA,0
15,17,0,NA,NA,0
15,18,0,NA,NA,0
15,19,0,NA,NA,0
15,20,0,NA,NA,0
15,21,0,NA,NA,0
15,22,0,NA,NA,0
15,23,0,NA,NA,0
15,24,0,NA,NA,0
16,1,525,0.8598,NA,1
16,2,468,0.8707,NA,1
16,3,221,0.9719,NA,1
16,4,205,1.0287,NA,1
16,5,0,NA,NA,0
16,6,0,NA,NA,0
16,7,0,NA,NA,0
16,8,0,NA,NA,0
16,9,0,NA,NA,0
16,10,0,NA,NA,0
16,11,0,NA,NA,0
16,12,0,NA,NA,0
16,13,2,25.1327,NA,0
16,14,2,12.5664,NA,0
16,15,0,NA,NA,0
16,16,0,NA,NA,0
16,17,0,NA,NA,0
16,18,0,NA,NA,0
16,19,0,NA,NA,0
16,20,0,NA,NA,0
16,21,0,NA,NA,0
16,22,0,NA,NA,0
16,23,0,NA,NA,0
16,24,0,NA,NA,0
